commune_nom,INSEE,pop,donnesgeo,area,elevation,blason
Jacou,34120,6791,Point(3.910327777 43.660769444),3.43,45,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Jacou%20%28H%C3%A9rault%29.svg
Fanjeaux,11136,834,Point(2.033611111 43.186944444),25.49,363,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Fanjeaux%20%28Aude%29.svg
Le Thillot,88468,3438,Point(6.765 47.88),15.14,709,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Le%20Thillot%2088.svg
Valros,34325,1616,Point(3.366388888 43.420277777),6.61,24,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Valros%20%28H%C3%A9rault%29.svg
Lodève,34142,7441,Point(3.319444444 43.731666666),23.17,165,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Lod%C3%A8ve%20%28H%C3%A9rault%29.svg
Vendémian,34328,1056,Point(3.561111111 43.581666666),16.89,57,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Vend%C3%A9mian%20%28H%C3%A9rault%29.svg
Vérargues,34330,747,Point(4.099722222 43.716111111),5.51,15,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20V%C3%A9rargues%2034.svg
Roqueredonde,34233,209,Point(3.212222222 43.800277777),22.71,453,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Roqueredonde%20%28H%C3%A9rault%29.svg
Origny,21470,51,Point(4.638888888 47.701111111),5.16,309,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20d%27Origny%20%2821%29.svg
Moncaup,64390,156,Point(-0.058055555 43.484166666),11.35,260,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Moncaup%20%28Pyr%C3%A9n%C3%A9es-Atlantiques%29.svg
Terroles,11389,17,Point(2.338333333 42.985),6.63,550,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Terroles%20%28Aude%29.svg
Bram,11049,3204,Point(2.114722222 43.242777777),17.72,119,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Bram%20%28Aude%29.svg
Saint-Martin-de-Gurson,24454,666,Point(0.106944444 44.9525),24.58,85,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Saint-Martin-de-Gurson.svg
Joucou,11177,35,Point(2.088333333 42.826388888),6.44,544,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Joucou%20%28Aude%29.svg
Langogne,48080,2891,Point(3.855 44.726666666),31.37,886,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Ville-fr%20Langogne%2048.svg
Pinet,34203,1745,Point(3.509444444 43.404722222),8.83,5,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pinet%20%28H%C3%A9rault%29.svg
Ferrals-les-Corbières,11140,1192,Point(2.7275 43.146944444),15.95,47,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Ferrals-les-Corbi%C3%A8res%20%28Aude%29.svg
Pezens,11288,1525,Point(2.265277777 43.254444444),11.11,128.5,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pezens%20%28Aude%29.svg
Marsa,11219,18,Point(2.155555555 42.8225),19.17,492,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Marsa%20%28Aude%29.svg
Paraza,11273,622,Point(2.831944444 43.249722222),9.47,19,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Paraza%20%28Aude%29.svg
Labastide-en-Val,11179,92,Point(2.473888888 43.075833333),11.7,218,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Labastide-en-Val%20%28Aude%29.svg
Saint-Savin,33473,3208,Point(-0.448611111 45.138611111),33.87,95,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Savin%20%28Gironde%29.svg
Bourganeuf,23030,2572,Point(1.755555555 45.953611111),22.54,380,http://commons.wikimedia.org/wiki/Special:FilePath/Albe%20arms.svg
Azille,11022,1144,Point(2.659166666 43.278333333),23.33,84,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Azille%20%28Aude%29.svg
Floirac,33167,17463,Point(-0.525833333 44.836388888),8.67,70,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Floirac%20%28Gironde%29.svg
Die,26113,4621,Point(5.370277777 44.753611111),57.28,410,http://commons.wikimedia.org/wiki/Special:FilePath/Blaons%20ville%20Die.svg
Saint-Gaudens,31483,11517,Point(0.723333333 43.108055555),27.35,405,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Gaudens%20%28Haute-Garonne%29.svg
Rethel,08362,7592,Point(4.3675 49.509722222),18.58,67,http://commons.wikimedia.org/wiki/Special:FilePath/Armoiries%20Rethel%203%20rateaux.svg
Lesparre-Médoc,33240,5801,Point(-0.937777777 45.306944444),36.97,4,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Lesparre%20M%C3%A9doc%28Gironde%29.svg
Condom,32107,6530,Point(0.3725 43.9575),97.37,82,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Condom%20%28Gers%29.svg
Guebwiller,68112,11094,Point(7.210277777 47.9075),9.68,300,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Guebwiller%20%28Haut-Rhin%29.svg
Villamée,35357,313,Point(-1.221666666 48.460833333),10.66,165,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Ville%20fr%20Villam%C3%A9e%2035.svg
Vouziers,08490,3918,Point(4.701111111 49.398055555),27.8,148,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Vouziers%20%28Ardenne%29.svg
Montbard,21425,5160,Point(4.336944444 47.623055555),46.37,202,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Montbard%20%28C%C3%B4te-d%27Or%29.svg
Montbard,21425,5160,Point(4.336944444 47.623055555),46.37,366,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Montbard%20%28C%C3%B4te-d%27Or%29.svg
Vervins,02789,2552,Point(3.909166666 49.835),10.35,147,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20Vervins.JPG
Largentière,07132,1629,Point(4.293333333 44.542777777),7.22,147,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Largenti%C3%A8re%20%28Ard%C3%A8che%29.svg
Bathelémont,54050,64,Point(6.525 48.691666666),6.6,227,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Bathelemont-les-Bauzemont%2054.svg
Langourla,22102,537,Point(-2.415833333 48.285),21.41,200,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Langourla%20%28C%C3%B4tes-d%27Armor%29.svg
Henvic,29079,1351,Point(-3.927777777 48.632222222),9.95,78,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Henvic%2829%29.svg
Corseul,22048,2184,Point(-2.17 48.481944444),41.74,120,http://commons.wikimedia.org/wiki/Special:FilePath/Armoirie-Corseul-byRundvald.jpg
Le Vigan,30350,3820,Point(3.605555555 43.992222222),17.24,231,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Le%20Vigan%20%28Gard%29.svg
