commune_nom,INSEE,pop,donnesgeo,area,elevation,blason
Campénéac,56032,1903,Point(-2.294722222 47.957777777),60.57,80,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Camp%C3%A9n%C3%A9ac%20%28Morbihan%29.svg
Larmor-Plage,56107,8299,Point(-3.384166666 47.706388888),7.27,9,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Larmor-Plage%20%28Morbihan%29.svg
Landaul,56096,2298,Point(-3.0761 47.7483),17.35,23,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Landaul%20%28Morbihan%29.svg
Monterblanc,56137,3275,Point(-2.681944444 47.7425),25.41,89,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Monterblanc%20%2856%29.svg
Lauzach,56109,1146,Point(-2.544722222 47.614722222),10.76,52,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Lauzach%20%28Morbihan%29.svg
Férel,56058,3220,Point(-2.343611111 47.482222222),28.9,40,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20F%C3%A9rel%20%28Morbihan%29.svg
Gourin,56066,3803,Point(-3.6075 48.139444444),74.72,30,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Gourin%20%28Morbihan%29.svg
La Chapelle-Gaceline,56038,768,Point(-2.106666666 47.783611111),7.79,20,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20La%20Chapelle-Gaceline%20%28Morbihan%29.svg
La Grée-Saint-Laurent,56068,336,Point(-2.498888888 47.995277777),7.9,95,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20La%20Gr%C3%A9e-Saint-Laurent%20%28Morbihan%29.svg
Glénac,56064,894,Point(-2.133055555 47.726666666),13.7,10,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Gl%C3%A9nac%20%28Morbihan%29.svg
Langonnet,56100,1757,Point(-3.493333333 48.105555555),85.4,180,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Langonnet%20%28Morbihan%29.svg
Guégon,56070,2287,Point(-2.564722222 47.938055555),53.52,80,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Gu%C3%A9gon%20%28Morbihan%29.svg
Nivillac,56147,4612,Point(-2.2825 47.533888888),55.48,30,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Nivillac%2001%20%28Morbihan%29.svg
Le Guerno,56077,969,Point(-2.408333333 47.583055555),9.75,70,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Le%20Guerno%20%28Morbihan%29.svg
Kerfourn,56092,838,Point(-2.833333333 48.043055555),19.46,130,http://commons.wikimedia.org/wiki/Special:FilePath/Bandeau-kerfourn%20blason.jpg
Hennebont,56083,15678,Point(-3.278888888 47.804166666),18.57,5,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20d%27hennebont.png
Josselin,56091,2495,Point(-2.548333333 47.955833333),4.48,30,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Josselin%20%28Morbihan%29.svg
Lanester,56098,22728,Point(-3.338888888 47.763333333),18.37,5,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Lanester.svg
Landévant,56097,3810,Point(-3.121666666 47.764722222),22.34,15,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Land%C3%A9vant%20%28Morbihan%29.svg
Merlevenez,56130,3207,Point(-3.233611111 47.736666666),17.67,10,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Merlevenez%20%28Morbihan%29.svg
Île-d'Houat,56086,231,Point(-2.955555555 47.39),2.91,27,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Ile-d%27Houat%20%28Morbihan%29.svg
Le Hézo,56084,813,Point(-2.703611111 47.585277777),4.89,6,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Le%20H%C3%A9zo%20%28Morbihan%29.svg
Inzinzac-Lochrist,56090,6526,Point(-3.266944444 47.843611111),44.67,72,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Inzinzac-Lochrist%20%28Morbihan%29.svg
Concoret,56043,734,Point(-2.206388888 48.064166666),15.76,90,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Concoret%20%28Morbihan%29.svg
Brignac,56025,186,Point(-2.388333333 48.120555555),13.12,84,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Brignac%20%28Morbihan%29.svg
Noyal-Pontivy,56151,3639,Point(-2.881944444 48.066666666),53.45,120,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Noyal-Pontivy%20%28Morbihan%29.svg
Cléguérec,56041,2906,Point(-3.070555555 48.124166666),62.99,155,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Cl%C3%A9gu%C3%A9rec%20%28Morbihan%29.svg
Loyat,56122,1624,Point(-2.383333333 47.99),41.52,42,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Loyat%20%28Morbihan%29.svg
Monterrein,56138,393,Point(-2.357777777 47.880277777),7.01,101,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Monterrein%20%28Morbihan%29.svg
Angoulins,17010,3940,Point(-1.11 46.104166666),7.86,4,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Angoulins%2017.svg
Vitry-sur-Seine,94081,93557,Point(2.392777777 48.7875),11.67,45,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Vitry-sur-Seine%20%28Val%20de%20Marne%29.svg
Montdidier,80561,6255,Point(2.57 49.648055555),12.58,97,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Montdidier.svg
Samer,62773,4496,Point(1.745277777 50.639722222),16.78,12,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Samer%20%28Pas-de-Calais%29.svg
Aigues-Vives,30004,3337,Point(4.180555555 43.739444444),12,10,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20d%27Aigues-Vives%20%2830%29.svg
Gallargues-le-Montueux,30123,3708,Point(4.172777777 43.721111111),10.89,64,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Gallargues-le-Montueux%20%2830%29.svg
Gallargues-le-Montueux,30123,3708,Point(4.16667 43.71667),10.89,64,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Gallargues-le-Montueux%20%2830%29.svg
Mulhouse,68224,109443,Point(7.339166666 47.748611111),22.18,240,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Mulhouse.svg
Fort-de-France,97209,80041,Point(-61.0833 14.6),44.21,0,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Fort-de-France%20%28Martinique%29.svg
Fort-de-France,97209,80041,Point(-61.0833 14.6),44.21,1070,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Fort-de-France%20%28Martinique%29.svg
Bagnoles,11025,308,Point(2.436666666 43.271111111),5.63,118,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Bagnoles11.svg
Cailla,11060,48,Point(2.196666666 42.814722222),7.64,387,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Cailla%20%28Aude%29.svg
Mourèze,34175,197,Point(3.356111111 43.618888888),13.44,160,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Mour%C3%A8ze%20%28H%C3%A9rault%29.svg
Le Mas-d'Agenais,47159,1490,Point(0.217222222 44.410833333),21.18,45,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Le%20Mas-d%27Agenais%20%28Lot-et-Garonne%29.svg
Brétigny,60105,410,Point(3.111666666 49.567222222),5.16,37,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20bretigny%20fr.svg
Vélieux,34326,86,Point(2.733611111 43.3875),10.15,213,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20V%C3%A9lieux%20%28H%C3%A9rault%29.svg
Montaud,34164,991,Point(3.955555555 43.751111111),12.92,51,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Montaud%2034.svg
Saint-Antoine-de-Breuilh,24370,1877,Point(0.154722222 44.844166666),17.82,7,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Antoine-de-Breuilh%20%28Dordogne%29.svg
Saint-Gély-du-Fesc,34255,9795,Point(3.806111111 43.692222222),16.51,116,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-G%C3%A9ly-du-Fesc%20%28H%C3%A9rault%29.svg
Saint-Merd-les-Oussines,19226,129,Point(2.04 45.6325),42.46,731,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Merd-les-Oussines%20%28Corr%C3%A8ze%29.svg
Paulhan,34194,3937,Point(3.458888888 43.540833333),11.26,18,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Paulhan%20%28H%C3%A9rault%29.svg
Le Leuy,40153,251,Point(-0.6525 43.822222222),9.46,66,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Le-Leuy%20%28Landes%29.svg
Villemagne-l'Argentière,34335,433,Point(3.119444444 43.617777777),8.06,187,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Villemagne-l%27Argenti%C3%A8re%2034.svg
Royère-de-Vassivière,23165,575,Point(1.911388888 45.841111111),74.14,540,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Roy%C3%A8re-de-Vassivi%C3%A8re%2023.svg
Plaissan,34204,1196,Point(3.525833333 43.558055555),5.79,35,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Plaissan%20%28H%C3%A9rault%29.svg
Pardailhan,34193,183,Point(2.846388888 43.450833333),41.18,275,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pardailhan%2034.svg
Saint-Brès,34244,2948,Point(4.029166666 43.6675),4.86,13,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Br%C3%A8s%20%28H%C3%A9rault%29.svg
Saturargues,34294,971,Point(4.113611111 43.7225),5.99,16,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saturargues%2034.svg
Lamalou-les-Bains,34126,2509,Point(3.079722222 43.5975),6.18,175,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Lamalou-les-Bains%20%28H%C3%A9rault%29.svg
Gagny,93032,39358,Point(2.538888888 48.881666666),6.83,80,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Gagny%2093.svg
Livry-Gargan,93046,44437,Point(2.535277777 48.918333333),7.38,65,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Livry-Gargan.svg
Guidel,56078,11550,Point(-3.488611111 47.790555555),52.29,39,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Guidel%20%28Morbihan%29.svg
Cournon,56044,761,Point(-2.105555555 47.746388888),10.87,25,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Cournon%20%28Morbihan%29.svg
Caden,56028,1630,Point(-2.288055555 47.630833333),38.1,60,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Caden%20%28Morbihan%29.svg
Damgan,56052,1702,Point(-2.577777777 47.519722222),10.16,21,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Damgan%20%28Morbihan%29.svg
Guilliers,56080,1313,Point(-2.405555555 48.0425),35.14,91,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Guilliers%20%28Morbihan%29.svg
Colpo,56042,2222,Point(-2.810277777 47.819166666),26.48,117,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Colpo%20%28Morbihan%29.svg
Guénin,56074,1769,Point(-2.980555555 47.906944444),28.71,63,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Gu%C3%A9nin%20%28Morbihan%29.svg
Noyal-Muzillac,56149,2520,Point(-2.456944444 47.591666666),48.89,40,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Noyal-Muzillac%20%28Morbihan%29.svg
Guer,56075,6192,Point(-2.120555555 47.903888888),52.11,50,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Guer%20%28Morbihan%29.svg
Erdeven,56054,3666,Point(-3.156666666 47.642222222),30.64,20,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Erdeven%20%28Morbihan%29.svg
Domqueur,80249,311,Point(2.049166666 50.114444444),8.37,90,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Domqueur.svg
Groix,56069,2263,Point(-3.455 47.638611111),14.82,47,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Groix%20%28Morbihan%29.svg
Cottenchy,80213,576,Point(2.382222222 49.809166666),10.73,40,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Cottenchy%2080.svg
Crédin,56047,1559,Point(-2.766944444 48.034722222),33.74,120,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Cr%C3%A9din%20%28Morbihan%29.svg
Gourhel,56065,702,Point(-2.360833333 47.9375),2.83,80,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Gourhel%20%28Morbihan%29.svg
Nostang,56148,1545,Point(-3.187777777 47.749722222),15.71,10,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Nostang.svg
Lantillac,56103,306,Point(-2.651944444 47.956666666),7.72,101,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Lantillac%20%28Morbihan%29.svg
Lignol,56110,853,Point(-3.271111111 48.0375),38.43,117,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20deLantivy.svg
Larmor-Baden,56106,887,Point(-2.897222222 47.587222222),3.93,21,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Larmor-Baden%20%28Morbihan%29.svg
Neulliac,56146,1412,Point(-2.982222222 48.127777777),30.99,105,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Neulliac%20%28Morbihan%29.svg
Guémené-sur-Scorff,56073,1061,Point(-3.203333333 48.068333333),1.17,137,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Gu%C3%A9men%C3%A9-sur-Scorff%20%28Morbihan%29.svg
Noyalo,56150,787,Point(-2.681111111 47.610277777),4.93,15,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Noyalo%20%28Morbihan%29.svg
Locqueltas,56120,1758,Point(-2.766111111 47.756944444),19.46,99,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Locqueltas%20%28Morbihan%29.svg
Languidic,56101,7971,Point(-3.157777777 47.833333333),109.08,66,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Languidic%20%28Morbihan%29.svg
Moustoir-Remungol,56142,700,Point(-2.902777777 47.996388888),12.42,100,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Moustoir-Remungol%20%28Morbihan%29.svg
Grand-Champ,56067,5404,Point(-2.844444444 47.758611111),67.34,127,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Grand-Champ%20%28Morbihan%29.svg
Camors,56031,3030,Point(-3.000833333 47.847777777),37.09,104,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Camors%20%28Morbihan%29.svg
Carnac,56034,4251,Point(-3.077777777 47.584722222),32.71,16,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Carnac%20%28Morbihan%29.svg
Sarcelles,95585,58587,Point(2.378055555 48.997222222),8.45,75,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Sarcelles%20%28Val-d%27Oise%29.svg
Garons,30125,4895,Point(4.428333333 43.768333333),12.28,96,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Garons%20%2830%29.svg
Saint-Cyr-l'École,78545,18795,Point(2.0625 48.800277777),5.01,158,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Saint-Cyr-l%27%C3%89cole01.svg
Senargent-Mignafans,70487,295,Point(6.526111111 47.565),10.77,302,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Senargent-Mignafans.svg
Fitou,11144,1060,Point(2.978611111 42.893611111),30.25,1,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Fitou%20%28Aude%29.svg
Rigaud,06101,211,Point(6.991388888 43.990833333),32.54,800,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Rigaud%2006.svg
Lyons-la-Forêt,27377,723,Point(1.476111111 49.399444444),26.99,163,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Lyons-la-For%C3%AAt.svg
Bouc-Bel-Air,13015,14654,Point(5.414444444 43.454444444),21.75,259,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Bouc-Bel-Air%20%2813%29.svg
Champs-sur-Yonne,89077,1574,Point(3.601111111 47.737222222),4.39,109,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Champs-sur-Yonne%20%28Yonne%29.svg
Auxelles-Bas,90005,463,Point(6.780555555 47.734166666),9.41,500,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Auxelles-Bas.svg
Saint-Florent-le-Vieil,49276,2862,Point(-1.016388888 47.361388888),24.7,7,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Florent-le-Vieil%20%28Maine-et-Loire%29.svg
Valdieu-Lutran,68192,421,Point(7.058333333 47.626666666),5.17,340,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Valdieu-Lutran%20%2868%29.svg
Boulogne-sur-Mer,62160,40874,Point(1.613888888 50.725555555),8.42,110,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Boulogne-sur-Mer%20%28Pas-de-Calais%29.svg
Équennes-Éramecourt,80276,296,Point(1.96 49.733888888),9.08,187,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20%C3%89quennes-%C3%89ramecourt.svg
La Rochelle,17300,75735,Point(-1.151388888 46.159444444),28.43,4,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20La%20Rochelle.png
Chamonix-Mont-Blanc,74056,8611,Point(6.868888888 45.922222222),116.53,1030,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Chamonix-Mont-Blanc%20%28Haute-Savoie%29.svg
Katzenthal,68161,528,Point(7.282222222 48.107777777),3.5,280,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Katzenthal%20%2868%29.svg
Issenheim,68156,3416,Point(7.253888888 47.9025),8.18,268,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20d%27Issenheim%20%2868%29.svg
Horbourg-Wihr,68145,5967,Point(7.394444444 48.079444444),9.42,186,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20d%27Horbourg-Wihr%20%2868%29.svg
Bois-d'Arcy,78073,15142,Point(2.031666666 48.801388888),5.48,190,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Bois-d%27Arcy%2078.svg
Viroflay,78686,16129,Point(2.172222222 48.8),3.49,115,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Viroflay%20%28Yvelines%29.svg
Voisins-le-Bretonneux,78688,11088,Point(2.050833333 48.758333333),2.38,145,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Voisins-le-Bretonneux%20%28Yvelines%29.svg
Kaysersberg,68162,2489,Point(7.260833333 48.139166666),24.82,240,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Kaysersberg%20%2868%29.svg
Hunawihr,68147,602,Point(7.311388888 48.180277777),4.81,228,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20d%27Hunawihr%20%2868%29.svg
Hunawihr,68147,602,Point(7.311388888 48.180277777),4.81,686,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20d%27Hunawihr%20%2868%29.svg
Panges,21477,88,Point(4.798611111 47.370277777),6.06,586,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Panges%20%28C%C3%B4te-d%27Or%29.svg
Val-Suzon,21651,207,Point(4.893333333 47.4075),18.51,322,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Val-Suzon%20%28C%C3%B4te-d%27Or%29.svg
Vichy,03310,24166,Point(3.425833333 46.126944444),5.85,249,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20fr%20Vichy.svg
Saint-Bernard,68081,571,Point(7.201666666 47.671111111),6.04,275,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Saint-Bernard%20%2868%29.svg
Linthal,68188,599,Point(7.130277777 47.946666666),20.84,463,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Linthal.svg
Liebenswiller,68183,194,Point(7.455 47.498333333),3.87,370,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20la%20ville%20de%20Liebenswiller%20%2868%29.svg
Saint-Nicolas-de-Port,54483,7520,Point(6.302222222 48.630833333),8.23,232,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Saint-Nicolas-de-Port%2054.svg
Uz,65458,33,Point(-0.086388888 42.966666666),2.45,750,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Uz%20%2865%29.svg
Senlis,60612,14277,Point(2.586666666 49.207222222),24.05,76,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20de%20Senlis.svg
Chantilly,60141,10863,Point(2.460833333 49.186944444),16.19,56,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Chantilly%20%28Oise%29.svg
Pénestin,56155,1946,Point(-2.474444444 47.482777777),21.69,20,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20P%C3%A9nestin%20%28Morbihan%29.svg
Antibes,06004,72999,Point(7.123055555 43.58),26.48,0,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20Antibes.svg
Saint-Armel,56205,886,Point(-2.710555555 47.5725),7.95,10,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Armel%20%28Morbihan%29.svg
Villefranche-de-Lonchat,24584,973,Point(0.057222222 44.948333333),14.98,90,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Villefranche-de-Lonchat%20%28Dordogne%29.svg
Sainte-Hélène,56220,1247,Point(-3.204722222 47.72),8.08,15,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Sainte-H%C3%A9l%C3%A8ne%20%28Morbihan%29.svg
Locminé,56117,4332,Point(-2.835833333 47.886666666),4.86,100,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Locmin%C3%A9%20%28Morbihan%29.svg
Le Saint,56201,587,Point(-3.562222222 48.089444444),31.03,156,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Le%20Saint%20%28Morbihan%29.svg
Plouhinec,56169,5353,Point(-3.251111111 47.6975),35.58,20,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Plouhinec%20%28Morbihan%29.svg
Saint-Martin-sur-Oust,56229,1305,Point(-2.254166666 47.746111111),28.24,10,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Martin-sur-Oust%20%28Morbihan%29.svg
La Chapelle-Neuve,56039,980,Point(-2.943055555 47.864722222),21.87,50,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20La%20Chapelle-Neuve%20%28Morbihan%29.svg
Saint-Aignan,56203,605,Point(-3.013888888 48.181388888),27.33,90,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Aignan%20%28Morbihan%29.svg
Rieux,56194,2845,Point(-2.1075 47.597777777),27.78,27,http://commons.wikimedia.org/wiki/Special:FilePath/Ecusson%20Rieux.png
Saint-Gorgon,56216,394,Point(-2.236666666 47.649166666),5.69,81,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Gorgon%20%28Morbihan%29.svg
Caro,56035,1151,Point(-2.319166666 47.864166666),37.74,123,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Caro%20%28Morbihan%29.svg
Le Tour-du-Parc,56252,1231,Point(-2.645555555 47.525555555),9.3,12,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Le%20Tour-du-Parc%20%28Morbihan%29%201.svg
La Trinité-sur-Mer,56258,1610,Point(-3.029722222 47.585277777),6.2,21,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20La%20Trinit%C3%A9-sur-Mer%20%28Morbihan%29.svg
Ploërmel,56165,9837,Point(-2.3975 47.931666666),57.82,75,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Plo%C3%ABrmel%20%28Morbihan%29.svg
Pluvigner,56177,7543,Point(-3.010277777 47.775833333),82.83,15,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Pluvigner%20%28Morbihan%29.svg
Saint-Jean-Brévelay,56222,2789,Point(-2.722222222 47.845),41.83,99,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Jean-Br%C3%A9velay%20%28Morbihan%29.svg
Perrigny,89295,1272,Point(3.537777777 47.82),12.62,130,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Perrigny%20%28Yonne%29.svg
Moréac,56140,3765,Point(-2.821111111 47.919166666),60.3,120,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Mor%C3%A9ac%20%28Morbihan%29.svg
Sainte-Anne-d'Auray,56263,2708,Point(-2.953888888 47.703611111),4.97,34,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Sainte-Anne-d%27Auray%20%28Morbihan%29.svg
Trédion,56254,1273,Point(-2.593333333 47.7925),25.76,85,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Tr%C3%A9dion%20%28Morbihan%29.svg
Remungol,56192,978,Point(-2.899166666 47.933888888),26.93,80,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Remungol%20%28Morbihan%29.svg
Saint-Gildas-de-Rhuys,56214,1576,Point(-2.838055555 47.5),15.28,30,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Gildas-de-Rhuys%20%28Morbihan%29.svg
Saint-Pierre-Quiberon,56234,2060,Point(-3.134166666 47.520833333),7.54,10,http://commons.wikimedia.org/wiki/Special:FilePath/Blason%20ville%20fr%20Saint-Pierre-Quiberon%20%28Morbihan%29.svg
